,Lost,Confusee,Spurious,contribution_to_overall_error,char_occurance,total_detected_chars,contribution_to_detection_error
,0.0,0.0,0.0,,0.0,0.0,
"""",6.013061843890603,81.50056034227377,4.099352190941142,0.027938864034443605,172.0,558362.0,0.02740157818762738
&,18.36792742351999,0.0,83.85492688209067,0.005239638614639551,9.0,133597.0,0.0022455594062740928
(,3.6619708379486346,4.307794506523507,4.98922648254518,0.07192571719905658,1388.0,692381.0,0.06253782238391868
),5.073207075472793,3.1952913437460366,2.8536613893748664,0.07611416257811812,1389.0,692381.0,0.062104534930912315
*,38.25525040936662,27.439325563607543,88.73172079072744,0.02283414561049229,58.0,280282.0,0.018552743308524983
-,5.286722403844102,5.409004529739549,19.46448356259274,0.08084004478624941,1842.0,693963.0,0.036889574804420414
.,13.150579958703249,2.3304583974973774,21.006385260625066,0.13765245810039606,2369.0,687238.0,0.06664357908031861
/,6.7288514448117915,4.991963322897838,4.7232884606402115,0.009420958879688558,432.0,689951.0,0.007101953616995989
0,4.370505503743931,7.290590796816952,10.089826229041057,0.12045857531532438,3264.0,696505.0,0.06546973819283422
1,6.60606383728108,6.9197849022038405,7.791348345641999,0.10739334247421052,3138.0,696505.0,0.08542652242266746
2,3.6853209691461024,4.48958669700936,3.1688826568611135,0.06546973819283422,2633.0,696505.0,0.05369667123710526
3,6.85272355651942,7.430209121641895,4.46402763569147,0.05350091168445451,1397.0,691577.0,0.03947499699961104
4,4.215991172916875,5.23349236029493,3.614708071581231,0.026561187644022655,1084.0,696505.0,0.01981321024256825
5,5.931722832678332,6.442772994788087,2.99761350673865,0.02583945757348727,919.0,692739.0,0.02093140417964053
6,10.755288783063108,4.5194578250116235,4.056422682342486,0.030724833274707288,817.0,696505.0,0.023976855873252885
7,6.013741793552159,5.270409155425539,3.4017342595714912,0.026048974951248118,722.0,694845.0,0.019284876483244465
8,3.856542963986827,5.895904298299396,3.869288370925475,0.023321768423477246,669.0,694630.0,0.019434807019564373
9,7.487957287059675,6.788599377867143,3.4962819279385293,0.03646389569884569,873.0,693837.0,0.029401718271006013
:,7.482070434465024,38.65969178507175,27.099806389479802,0.017007990718496492,237.0,658514.0,0.014122706578751552
;,3.8352368447213756,11.70621139851709,11.019042874428262,0.0036028606713730702,68.0,499603.0,0.0022017481880613208
A,4.3376990415667045,1.5774131482198528,71.94271798713484,0.004191399248741582,40.0,501026.0,0.0013971330829138607
I,26.79429191304835,28.666881763567503,41.85102753586244,0.019036411463380868,124.0,520056.0,0.014998384789330379
P,6.630567732744676,37.030261695268436,47.9381105755686,0.009594079082623296,51.0,218885.0,0.007309774539141558
T,2.3769931037237892,20.302625214817542,169.13817146309918,0.01329568096358107,40.0,534008.0,0.0031834729067729325
V,22.332478660939252,9.081726660228874,29.73371960085689,0.004439856592632058,8.0,90093.0,0.002219928296316029
W,0.0,0.0,121.51342636908662,0.006045644616857272,4.0,99245.0,0.0
\,2.9219792206863255,0.0,97.07802077931368,0.004470592442910534,1.0,111842.0,0.0008941184885821069
],74.06398417448989,0.0,1.6652597651753511,0.0017053351409885827,7.0,234558.0,0.001279001355741437
a,1.4145138421833359,1.7937548593194381,592.6730079809913,0.03801888902269091,440.0,581290.0,0.005849059849644756
i,12.16106870578368,9.901836733516816,59.99189848049142,0.0422631099636608,669.0,565505.0,0.03713495017727518
m,3.03160973359161,0.9292202513883508,39.71835319944798,0.0061276795276891186,134.0,375346.0,0.0034634710373895017
n,3.690167678456487,0.7769679503802548,1011.4447082101933,0.062228090301075734,429.0,554412.0,0.008297078706810098
