,xml_index,text_top,text_left,text_width,text_height,text,font_size,font_family,font_color,attrib,font_family_updated,font_size_updated,children,word_coords
0,0,41,400,93,18, राष्ट्रपति सचिवालय,13,Nirmala UI,#000000,,Nirmala UI,12,"{""index"":{""0"":0,""1"":1},""xml_index"":{""0"":0,""1"":1},""text_top"":{""0"":41,""1"":41},""text_left"":{""0"":400,""1"":441},""text_width"":{""0"":38,""1"":52},""text_height"":{""0"":19,""1"":18},""text"":{""0"":""\u0930\u093e\ue500\ufffd\ue900\ufffd\u092a\u093f\u0924"",""1"":""\u0938\u093f\u091a\u0935\u093e\u0932\u092f""},""font_size"":{""0"":13,""1"":13},""font_family"":{""0"":""Nirmala UI"",""1"":""Nirmala UI""},""font_color"":{""0"":""#000000"",""1"":""#000000""},""attrib"":{""0"":"""",""1"":""""},""font_family_updated"":{""0"":""Nirmala UI"",""1"":""Nirmala UI""},""font_size_updated"":{""0"":12,""1"":12}}","[{'text': 'राष्ट्रपति', 'conf': 89, 'text_left': 1115, 'text_top': 129, 'text_width': 106, 'text_height': 50}, {'text': 'सचिवालय', 'conf': 96, 'text_left': 1227, 'text_top': 129, 'text_width': 147, 'text_height': 38}]"
1,2,78,61,780,43," राष्ट्रपति भवन और मुगल गार्डन जनता के लिए 23,25 और 26",33,Arial,#000000,,Arial,31,"{""index"":{""0"":0,""1"":1,""2"":2,""3"":3,""4"":4,""5"":5,""6"":6,""7"":7,""8"":8,""9"":9,""10"":10},""xml_index"":{""0"":2,""1"":3,""2"":4,""3"":5,""4"":6,""5"":7,""6"":8,""7"":9,""8"":10,""9"":11,""10"":12},""text_top"":{""0"":78,""1"":78,""2"":78,""3"":78,""4"":78,""5"":78,""6"":78,""7"":78,""8"":83,""9"":78,""10"":83},""text_left"":{""0"":61,""1"":165,""2"":239,""3"":302,""4"":379,""5"":463,""6"":547,""7"":586,""8"":638,""9"":741,""10"":794},""text_width"":{""0"":95,""1"":65,""2"":53,""3"":68,""4"":74,""5"":75,""6"":29,""7"":52,""8"":103,""9"":53,""10"":47},""text_height"":{""0"":47,""1"":44,""2"":44,""3"":44,""4"":44,""5"":44,""6"":44,""7"":44,""8"":38,""9"":44,""10"":38},""text"":{""0"":""\u0930\u093e\ue500\ufffd\ue900\ufffd\u092a\u093f\u0924"",""1"":""\u092d\u0935\u0928"",""2"":""\u0914\u0930"",""3"":""\u092e\u0941\u0917\u0932"",""4"":""\u0917\u093e\u0921\ue100\ufffd\u0928"",""5"":""\u091c\u0928\u0924\u093e"",""6"":""\u0915\u0947"",""7"":""\u093f\u0932\u090f"",""8"":""\u00a023,25\u00a0"",""9"":""\u0914\u0930"",""10"":""\u00a026""},""font_size"":{""0"":33,""1"":33,""2"":33,""3"":33,""4"":33,""5"":33,""6"":33,""7"":33,""8"":33,""9"":33,""10"":33},""font_family"":{""0"":""Nirmala UI"",""1"":""Nirmala UI"",""2"":""Nirmala UI"",""3"":""Nirmala UI"",""4"":""Nirmala UI"",""5"":""Nirmala UI"",""6"":""Nirmala UI"",""7"":""Nirmala UI"",""8"":""Arial"",""9"":""Nirmala UI"",""10"":""Arial""},""font_color"":{""0"":""#000000"",""1"":""#000000"",""2"":""#000000"",""3"":""#000000"",""4"":""#000000"",""5"":""#000000"",""6"":""#000000"",""7"":""#000000"",""8"":""#000000"",""9"":""#000000"",""10"":""#000000""},""attrib"":{""0"":"""",""1"":"""",""2"":"""",""3"":"""",""4"":"""",""5"":"""",""6"":"""",""7"":""SUPERSCRIPT"",""8"":"""",""9"":""SUPERSCRIPT"",""10"":""""},""font_family_updated"":{""0"":""Nirmala UI"",""1"":""Nirmala UI"",""2"":""Nirmala UI"",""3"":""Nirmala UI"",""4"":""Nirmala UI"",""5"":""Nirmala UI"",""6"":""Nirmala UI"",""7"":""Nirmala UI"",""8"":""Arial"",""9"":""Nirmala UI"",""10"":""Arial""},""font_size_updated"":{""0"":31,""1"":31,""2"":31,""3"":31,""4"":31,""5"":31,""6"":31,""7"":31,""8"":31,""9"":31,""10"":31}}","[{'text': 'राष्ट्रपति', 'conf': 93, 'text_left': 170, 'text_top': 234, 'text_width': 268, 'text_height': 126}, {'text': 'भवन', 'conf': 95, 'text_left': 467, 'text_top': 260, 'text_width': 177, 'text_height': 69}, {'text': 'और', 'conf': 96, 'text_left': 673, 'text_top': 228, 'text_width': 143, 'text_height': 102}, {'text': 'मुगल', 'conf': 95, 'text_left': 839, 'text_top': 260, 'text_width': 193, 'text_height': 93}, {'text': 'गार्डन', 'conf': 95, 'text_left': 1054, 'text_top': 229, 'text_width': 211, 'text_height': 131}, {'text': 'जनता', 'conf': 95, 'text_left': 1287, 'text_top': 232, 'text_width': 320, 'text_height': 128}, {'text': 'के', 'conf': 95, 'text_left': 1503, 'text_top': 224, 'text_width': 120, 'text_height': 136}, {'text': 'लिए', 'conf': 92, 'text_left': 1629, 'text_top': 234, 'text_width': 148, 'text_height': 108}, {'text': '23,25', 'conf': 92, 'text_left': 1805, 'text_top': 262, 'text_width': 227, 'text_height': 80}, {'text': 'और', 'conf': 96, 'text_left': 2067, 'text_top': 228, 'text_width': 144, 'text_height': 102}, {'text': '26', 'conf': 96, 'text_left': 2239, 'text_top': 262, 'text_width': 97, 'text_height': 68}]"
2,13,115,313,266,44, जनवरी को बंद रहेगा,33,Nirmala UI,#000000,,Nirmala UI,31,"{""index"":{""0"":0,""1"":1,""2"":2,""3"":3},""xml_index"":{""0"":13,""1"":14,""2"":15,""3"":16},""text_top"":{""0"":115,""1"":115,""2"":115,""3"":115},""text_left"":{""0"":313,""1"":414,""2"":461,""3"":512},""text_width"":{""0"":91,""1"":38,""2"":42,""3"":67},""text_height"":{""0"":44,""1"":44,""2"":44,""3"":44},""text"":{""0"":""\u091c\u0928\u0935\u0930\u0940"",""1"":""\u0915\u094b"",""2"":""\u092c\u0902\u0926"",""3"":""\u0930\u0939\u0947\u0917\u093e""},""font_size"":{""0"":33,""1"":33,""2"":33,""3"":33},""font_family"":{""0"":""Nirmala UI"",""1"":""Nirmala UI"",""2"":""Nirmala UI"",""3"":""Nirmala UI""},""font_color"":{""0"":""#000000"",""1"":""#000000"",""2"":""#000000"",""3"":""#000000""},""attrib"":{""0"":"""",""1"":"""",""2"":"""",""3"":""""},""font_family_updated"":{""0"":""Nirmala UI"",""1"":""Nirmala UI"",""2"":""Nirmala UI"",""3"":""Nirmala UI""},""font_size_updated"":{""0"":31,""1"":31,""2"":31,""3"":31}}","[{'text': 'जनवरी', 'conf': 95, 'text_left': 870, 'text_top': 319, 'text_width': 261, 'text_height': 114}, {'text': 'को', 'conf': 96, 'text_left': 1152, 'text_top': 319, 'text_width': 109, 'text_height': 113}, {'text': 'बंद', 'conf': 95, 'text_left': 1283, 'text_top': 319, 'text_width': 126, 'text_height': 120}, {'text': 'रहेगा', 'conf': 96, 'text_left': 1426, 'text_top': 319, 'text_width': 189, 'text_height': 125}]"
3,17,193,306,280,15, Posted On: 45 उठा 2020 5:46?४/ 0४ १९8 06,13,Arial,#000000,,Arial,12,,"[{'text': 'Posted', 'conf': 96, 'text_left': 857, 'text_top': 556, 'text_width': 112, 'text_height': 27}, {'text': 'On:', 'conf': 90, 'text_left': 984, 'text_top': 556, 'text_width': 55, 'text_height': 27}, {'text': '45', 'conf': 0, 'text_left': 1055, 'text_top': 556, 'text_width': 37, 'text_height': 27}, {'text': 'उठा', 'conf': 21, 'text_left': 1105, 'text_top': 556, 'text_width': 67, 'text_height': 27}, {'text': '2020', 'conf': 92, 'text_left': 1186, 'text_top': 556, 'text_width': 84, 'text_height': 27}, {'text': '5:46?४/', 'conf': 0, 'text_left': 1284, 'text_top': 556, 'text_width': 127, 'text_height': 27}, {'text': '0४', 'conf': 77, 'text_left': 1425, 'text_top': 556, 'text_width': 38, 'text_height': 35}, {'text': '१९8', 'conf': 63, 'text_left': 1476, 'text_top': 556, 'text_width': 54, 'text_height': 27}, {'text': '06', 'conf': 22, 'text_left': 1545, 'text_top': 556, 'text_width': 84, 'text_height': 28}]"
4,18,232,37,817,23," गणतंत्र दिवस परेड, 2020 को देखते हुए राष्ट्रपति भवन और मुगल गार्डन जनता के लिए 23,25 और 26 जनवरी को बंद",18,Times New Roman,#000000,,Times New Roman,17,"{""index"":{""0"":0,""1"":1,""2"":2,""3"":3,""4"":4,""5"":5,""6"":6,""7"":7,""8"":8,""9"":9,""10"":10,""11"":11,""12"":12,""13"":13,""14"":14,""15"":15,""16"":16,""17"":17,""18"":18,""19"":19,""20"":20},""xml_index"":{""0"":18,""1"":19,""2"":20,""3"":21,""4"":22,""5"":23,""6"":24,""7"":25,""8"":26,""9"":27,""10"":28,""11"":29,""12"":30,""13"":31,""14"":32,""15"":33,""16"":34,""17"":35,""18"":36,""19"":37,""20"":38},""text_top"":{""0"":232,""1"":232,""2"":232,""3"":235,""4"":232,""5"":232,""6"":232,""7"":232,""8"":232,""9"":232,""10"":232,""11"":232,""12"":232,""13"":232,""14"":232,""15"":235,""16"":232,""17"":235,""18"":232,""19"":232,""20"":232},""text_left"":{""0"":37,""1"":90,""2"":135,""3"":168,""4"":221,""5"":248,""6"":292,""7"":320,""8"":377,""9"":418,""10"":452,""11"":495,""12"":541,""13"":588,""14"":610,""15"":637,""16"":691,""17"":719,""18"":750,""19"":805,""20"":832},""text_width"":{""0"":46,""1"":39,""2"":33,""3"":51,""4"":20,""5"":37,""6"":21,""7"":51,""8"":34,""9"":28,""10"":36,""11"":40,""12"":40,""13"":16,""14"":28,""15"":51,""16"":28,""17"":29,""18"":48,""19"":20,""20"":22},""text_height"":{""0"":23,""1"":23,""2"":23,""3"":20,""4"":23,""5"":23,""6"":23,""7"":25,""8"":23,""9"":23,""10"":23,""11"":23,""12"":23,""13"":23,""14"":23,""15"":20,""16"":23,""17"":20,""18"":23,""19"":23,""20"":23},""text"":{""0"":""\u0917\u0923\u0924\u0902\ue600\ufffd"",""1"":""\u093f\u0926\u0935\u0938"",""2"":""\u092a\u0930\u0947\u0921"",""3"":"",\u00a02020\u00a0"",""4"":""\u0915\u094b"",""5"":""\u0926\u0947\u0916\u0924\u0947"",""6"":""\ue3c0\ufffd\u090f"",""7"":""\u0930\u093e\ue500\ufffd\ue900\ufffd\u092a\u093f\u0924"",""8"":""\u092d\u0935\u0928"",""9"":""\u0914\u0930"",""10"":""\u092e\u0941\u0917\u0932"",""11"":""\u0917\u093e\u0921\ue100\ufffd\u0928"",""12"":""\u091c\u0928\u0924\u093e"",""13"":""\u0915\u0947"",""14"":""\u093f\u0932\u090f"",""15"":""\u00a023,25\u00a0"",""16"":""\u0914\u0930"",""17"":""\u00a0 26\u00a0"",""18"":""\u091c\u0928\u0935\u0930\u0940"",""19"":""\u0915\u094b"",""20"":""\u092c\u0902\u0926""},""font_size"":{""0"":18,""1"":18,""2"":18,""3"":18,""4"":18,""5"":18,""6"":18,""7"":18,""8"":18,""9"":18,""10"":18,""11"":18,""12"":18,""13"":18,""14"":18,""15"":18,""16"":18,""17"":18,""18"":18,""19"":18,""20"":18},""font_family"":{""0"":""Nirmala UI"",""1"":""Nirmala UI"",""2"":""Nirmala UI"",""3"":""Times New Roman"",""4"":""Nirmala UI"",""5"":""Nirmala UI"",""6"":""Nirmala UI"",""7"":""Nirmala UI"",""8"":""Nirmala UI"",""9"":""Nirmala UI"",""10"":""Nirmala UI"",""11"":""Nirmala UI"",""12"":""Nirmala UI"",""13"":""Nirmala UI"",""14"":""Nirmala UI"",""15"":""Times New Roman"",""16"":""Nirmala UI"",""17"":""Times New Roman"",""18"":""Nirmala UI"",""19"":""Nirmala UI"",""20"":""Nirmala UI""},""font_color"":{""0"":""#000000"",""1"":""#000000"",""2"":""#000000"",""3"":""#000000"",""4"":""#000000"",""5"":""#000000"",""6"":""#000000"",""7"":""#000000"",""8"":""#000000"",""9"":""#000000"",""10"":""#000000"",""11"":""#000000"",""12"":""#000000"",""13"":""#000000"",""14"":""#000000"",""15"":""#000000"",""16"":""#000000"",""17"":""#000000"",""18"":""#000000"",""19"":""#000000"",""20"":""#000000""},""attrib"":{""0"":"""",""1"":"""",""2"":""SUPERSCRIPT"",""3"":"""",""4"":""SUPERSCRIPT"",""5"":"""",""6"":"""",""7"":"""",""8"":"""",""9"":"""",""10"":"""",""11"":"""",""12"":"""",""13"":"""",""14"":""SUPERSCRIPT"",""15"":"""",""16"":""SUPERSCRIPT"",""17"":"""",""18"":""SUPERSCRIPT"",""19"":"""",""20"":""""},""font_family_updated"":{""0"":""Nirmala UI"",""1"":""Nirmala UI"",""2"":""Nirmala UI"",""3"":""Times New Roman"",""4"":""Nirmala UI"",""5"":""Nirmala UI"",""6"":""Nirmala UI"",""7"":""Nirmala UI"",""8"":""Nirmala UI"",""9"":""Nirmala UI"",""10"":""Nirmala UI"",""11"":""Nirmala UI"",""12"":""Nirmala UI"",""13"":""Nirmala UI"",""14"":""Nirmala UI"",""15"":""Times New Roman"",""16"":""Nirmala UI"",""17"":""Times New Roman"",""18"":""Nirmala UI"",""19"":""Nirmala UI"",""20"":""Nirmala UI""},""font_size_updated"":{""0"":17,""1"":17,""2"":17,""3"":17,""4"":17,""5"":17,""6"":17,""7"":17,""8"":17,""9"":17,""10"":17,""11"":17,""12"":17,""13"":17,""14"":17,""15"":17,""16"":17,""17"":17,""18"":17,""19"":17,""20"":17}}","[{'text': 'गणतंत्र', 'conf': 96, 'text_left': 106, 'text_top': 664, 'text_width': 130, 'text_height': 68}, {'text': 'दिवस', 'conf': 96, 'text_left': 251, 'text_top': 660, 'text_width': 112, 'text_height': 55}, {'text': 'परेड,', 'conf': 96, 'text_left': 379, 'text_top': 659, 'text_width': 101, 'text_height': 60}, {'text': '2020', 'conf': 96, 'text_left': 501, 'text_top': 677, 'text_width': 97, 'text_height': 35}, {'text': 'को', 'conf': 96, 'text_left': 617, 'text_top': 659, 'text_width': 59, 'text_height': 52}, {'text': 'देखते', 'conf': 96, 'text_left': 692, 'text_top': 659, 'text_width': 105, 'text_height': 56}, {'text': 'हुए', 'conf': 94, 'text_left': 813, 'text_top': 674, 'text_width': 61, 'text_height': 50}, {'text': 'राष्ट्रपति', 'conf': 95, 'text_left': 890, 'text_top': 660, 'text_width': 143, 'text_height': 68}, {'text': 'भवन', 'conf': 96, 'text_left': 1052, 'text_top': 674, 'text_width': 94, 'text_height': 37}, {'text': 'और', 'conf': 96, 'text_left': 1166, 'text_top': 657, 'text_width': 76, 'text_height': 54}, {'text': 'मुगल', 'conf': 95, 'text_left': 1259, 'text_top': 674, 'text_width': 103, 'text_height': 50}, {'text': 'गार्डन', 'conf': 95, 'text_left': 1377, 'text_top': 658, 'text_width': 112, 'text_height': 54}, {'text': 'जनता', 'conf': 96, 'text_left': 1506, 'text_top': 674, 'text_width': 113, 'text_height': 37}, {'text': 'के', 'conf': 96, 'text_left': 1635, 'text_top': 659, 'text_width': 45, 'text_height': 52}, {'text': 'लिए', 'conf': 93, 'text_left': 1696, 'text_top': 660, 'text_width': 79, 'text_height': 58}, {'text': '23,25', 'conf': 92, 'text_left': 1793, 'text_top': 677, 'text_width': 108, 'text_height': 42}, {'text': 'और', 'conf': 96, 'text_left': 1926, 'text_top': 657, 'text_width': 76, 'text_height': 54}, {'text': '26', 'conf': 96, 'text_left': 2021, 'text_top': 677, 'text_width': 47, 'text_height': 35}, {'text': 'जनवरी', 'conf': 95, 'text_left': 2087, 'text_top': 660, 'text_width': 136, 'text_height': 51}, {'text': 'को', 'conf': 96, 'text_left': 2239, 'text_top': 659, 'text_width': 59, 'text_height': 52}, {'text': 'बंद', 'conf': 96, 'text_left': 2314, 'text_top': 664, 'text_width': 64, 'text_height': 51}]"
5,39,257,37,43,23, रहेगा।,18,Nirmala UI,#000000,,Nirmala UI,17,,"[{'text': 'रहेगा।', 'conf': 90, 'text_left': 106, 'text_top': 728, 'text_width': 115, 'text_height': 58}]"
6,40,296,415,63,20, के के मे के के के के,18,Times New Roman,#000000,,Times New Roman,17,,"[{'text': 'के', 'conf': 27, 'text_left': 1159, 'text_top': 846, 'text_width': 19, 'text_height': 19}, {'text': 'के', 'conf': 72, 'text_left': 1184, 'text_top': 846, 'text_width': 19, 'text_height': 19}, {'text': 'मे', 'conf': 41, 'text_left': 1209, 'text_top': 846, 'text_width': 19, 'text_height': 19}, {'text': 'के', 'conf': 29, 'text_left': 1234, 'text_top': 846, 'text_width': 19, 'text_height': 19}, {'text': 'के', 'conf': 63, 'text_left': 1259, 'text_top': 846, 'text_width': 19, 'text_height': 19}, {'text': 'के', 'conf': 65, 'text_left': 1284, 'text_top': 846, 'text_width': 19, 'text_height': 19}, {'text': 'के', 'conf': 52, 'text_left': 1309, 'text_top': 846, 'text_width': 19, 'text_height': 19}]"
7,41,329,37,311,23, आर.के.मीणा/आरएनएम/केपी/डीके - 5300,18,Nirmala UI,#000000,,Nirmala UI,17,"{""index"":{""0"":0,""1"":1,""2"":2,""3"":3,""4"":4,""5"":5,""6"":6,""7"":7,""8"":8,""9"":9,""10"":10,""11"":11},""xml_index"":{""0"":41,""1"":42,""2"":43,""3"":44,""4"":45,""5"":46,""6"":47,""7"":48,""8"":49,""9"":50,""10"":51,""11"":52},""text_top"":{""0"":329,""1"":332,""2"":329,""3"":332,""4"":329,""5"":332,""6"":329,""7"":332,""8"":329,""9"":332,""10"":329,""11"":332},""text_left"":{""0"":37,""1"":68,""2"":72,""3"":88,""4"":93,""5"":132,""6"":137,""7"":215,""8"":220,""9"":254,""10"":259,""11"":294},""text_width"":{""0"":31,""1"":5,""2"":16,""3"":5,""4"":39,""5"":5,""6"":78,""7"":5,""8"":33,""9"":5,""10"":35,""11"":54},""text_height"":{""0"":23,""1"":20,""2"":23,""3"":20,""4"":23,""5"":20,""6"":23,""7"":20,""8"":23,""9"":20,""10"":23,""11"":20},""text"":{""0"":""\u0906\u0930"",""1"":""."",""2"":""\u0915\u0947"",""3"":""."",""4"":""\u092e\u0940\u0923\u093e"",""5"":""\/"",""6"":""\u0906\u0930\u090f\u0928\u090f\u092e"",""7"":""\/"",""8"":""\u0915\u0947\u092a\u0940"",""9"":""\/"",""10"":""\u0921\u0940\u0915\u0947"",""11"":""\u00a0\u2013\u00a05300""},""font_size"":{""0"":18,""1"":18,""2"":18,""3"":18,""4"":18,""5"":18,""6"":18,""7"":18,""8"":18,""9"":18,""10"":18,""11"":18},""font_family"":{""0"":""Nirmala UI"",""1"":""Times New Roman"",""2"":""Nirmala UI"",""3"":""Times New Roman"",""4"":""Nirmala UI"",""5"":""Times New Roman"",""6"":""Nirmala UI"",""7"":""Times New Roman"",""8"":""Nirmala UI"",""9"":""Times New Roman"",""10"":""Nirmala UI"",""11"":""Times New Roman""},""font_color"":{""0"":""#000000"",""1"":""#000000"",""2"":""#000000"",""3"":""#000000"",""4"":""#000000"",""5"":""#000000"",""6"":""#000000"",""7"":""#000000"",""8"":""#000000"",""9"":""#000000"",""10"":""#000000"",""11"":""#000000""},""attrib"":{""0"":""SUPERSCRIPT"",""1"":"""",""2"":""SUPERSCRIPT"",""3"":"""",""4"":""SUPERSCRIPT"",""5"":"""",""6"":""SUPERSCRIPT"",""7"":"""",""8"":""SUPERSCRIPT"",""9"":"""",""10"":""SUPERSCRIPT"",""11"":""""},""font_family_updated"":{""0"":""Nirmala UI"",""1"":""Times New Roman"",""2"":""Nirmala UI"",""3"":""Times New Roman"",""4"":""Nirmala UI"",""5"":""Times New Roman"",""6"":""Nirmala UI"",""7"":""Times New Roman"",""8"":""Nirmala UI"",""9"":""Times New Roman"",""10"":""Nirmala UI"",""11"":""Times New Roman""},""font_size_updated"":{""0"":17,""1"":17,""2"":17,""3"":17,""4"":17,""5"":17,""6"":17,""7"":17,""8"":17,""9"":17,""10"":17,""11"":17}}","[{'text': 'आर.के.मीणा/आरएनएम/केपी/डीके', 'conf': 84, 'text_left': 109, 'text_top': 928, 'text_width': 711, 'text_height': 62}, {'text': '-', 'conf': 92, 'text_left': 832, 'text_top': 968, 'text_width': 25, 'text_height': 3}, {'text': '5300', 'conf': 96, 'text_left': 871, 'text_top': 947, 'text_width': 96, 'text_height': 35}]"
8,53,405,37,271,15, (Release ID: 599497) Visitor Counter : 48,13,Arial,#000000,,Arial,12,,"[{'text': '(Release', 'conf': 96, 'text_left': 109, 'text_top': 1147, 'text_width': 151, 'text_height': 35}, {'text': 'ID:', 'conf': 92, 'text_left': 275, 'text_top': 1147, 'text_width': 42, 'text_height': 27}, {'text': '599497)', 'conf': 0, 'text_left': 353, 'text_top': 1147, 'text_width': 140, 'text_height': 35}, {'text': 'Visitor', 'conf': 96, 'text_left': 504, 'text_top': 1147, 'text_width': 106, 'text_height': 27}, {'text': 'Counter', 'conf': 93, 'text_left': 621, 'text_top': 1147, 'text_width': 136, 'text_height': 28}, {'text': ':', 'conf': 90, 'text_left': 769, 'text_top': 1154, 'text_width': 4, 'text_height': 20}, {'text': '48', 'conf': 0, 'text_left': 806, 'text_top': 1147, 'text_width': 41, 'text_height': 27}]"
9,54,463,37,233,15," Read this release in: English , Bengali",13,Arial,#000000,,Arial,12,,"[{'text': 'Read', 'conf': 96, 'text_left': 110, 'text_top': 1307, 'text_width': 87, 'text_height': 27}, {'text': 'this', 'conf': 96, 'text_left': 211, 'text_top': 1307, 'text_width': 56, 'text_height': 27}, {'text': 'release', 'conf': 96, 'text_left': 281, 'text_top': 1307, 'text_width': 123, 'text_height': 28}, {'text': 'in:', 'conf': 95, 'text_left': 418, 'text_top': 1307, 'text_width': 36, 'text_height': 27}, {'text': 'English', 'conf': 91, 'text_left': 469, 'text_top': 1307, 'text_width': 121, 'text_height': 35}, {'text': ',', 'conf': 91, 'text_left': 607, 'text_top': 1330, 'text_width': 4, 'text_height': 9}, {'text': 'Bengali', 'conf': 86, 'text_left': 626, 'text_top': 1307, 'text_width': 124, 'text_height': 35}]"
